Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Group
RBMS3,4.112250555,1.871100302,0.633744087,2.952454058,0.00315259,0.031482428,Epilepsy
NR4A3,2.175838425,3.527767414,1.176213174,2.999258546,0.002706375,0.031466008,MS
ST3GAL3,4.871826777,1.022094841,0.408973885,2.499168965,0.012448494,0.031420187,AD
VWF,1.374782881,1.048822061,0.41946471,2.500382119,0.012405941,0.031328806,AD
MT-CO2,338.7660647,1.754677607,0.584667141,3.001156528,0.002689563,0.031295935,MS
STIL,1.023713706,1.424281402,0.474646542,3.000720063,0.002693421,0.031274912,LBD
ADAP1,2.805582249,1.725099619,0.574703911,3.001718945,0.002684599,0.031263575,MS
PPP1R14C,1.513744563,2.953716548,0.843126996,3.503287835,0.000459553,0.031241743,ASD
C9orf3,12.58338907,1.43644163,0.478463035,3.002199806,0.002680362,0.031239628,MS
AC002117.1,0.793387794,1.911019544,0.76365346,2.502469567,0.012333023,0.031171587,AD
RP11-297D21.4,1.744441075,1.844529751,0.737073756,2.502503632,0.012331836,0.031171587,AD
C8orf34,2.355546136,1.307849302,0.435530091,3.002890795,0.002674284,0.031126874,LBD
AC090568.2,0.707116111,2.790114501,0.928950276,3.003513291,0.002668819,0.03110845,LBD
ADGRL2,2.989749024,1.617147893,0.538454598,3.003313368,0.002670573,0.03110845,LBD
